|射雕英雄传之东成西就|	|https://maoyan.com/films/13824|	|上映时间：1993-02-05(中国香港)|	 喜剧   奇幻   武侠   古装 |


|肖申克的救赎|	|https://maoyan.com/films/1297|	|上映时间：1994-09-10(加拿大)|	 剧情   犯罪 |


|甜蜜蜜|	|https://maoyan.com/films/784|	|上映时间：2015-02-13|	 剧情   爱情 |


|海上钢琴师|	|https://maoyan.com/films/1292|	|上映时间：2019-11-15|	 剧情   爱情   音乐 |


|搏击俱乐部|	|https://maoyan.com/films/1291|	|上映时间：1999-09-10(意大利)|	 剧情   动作   悬疑   惊悚 |


|泰坦尼克号|	|https://maoyan.com/films/267|	|上映时间：1998-04-03|	 剧情   爱情   灾难 |


|初恋这件小事|	|https://maoyan.com/films/263|	|上映时间：2012-06-05|	 喜剧   爱情 |


|乱世佳人|	|https://maoyan.com/films/7431|	|上映时间：1939-12-15(美国)|	 剧情   爱情   历史   战争 |


|十二怒汉|	|https://maoyan.com/films/2049|	|上映时间：1957-04-13(美国)|	 剧情 |


|剪刀手爱德华|	|https://maoyan.com/films/513|	|上映时间：1990-12-06(美国)|	 剧情   爱情   奇幻 |


